"Código","Municipio","Hombres","Mujeres"," Variación 2009-2010 "
50250,"Talamantes",31,30,-1
50251,"Tarazona",5.510,5.621,-80
50252,"Tauste",3.788,3.779,-143
50253,"Terrer",260,259,-7
50254,"Tierga",99,80,-10
50255,"Tobed",123,133,18
50256,"Torralba de los Frailes",52,44,-3
50257,"Torralba de Ribota",109,89,-2
50258,"Torralbilla",34,30,-2
50259,"Torrehermosa",44,39,-4
50260,"Torrelapaja",26,19,3
50261,"Torrellas",152,141,-8
50262,"Torres de Berrellén",779,717,-27
50263,"Torrijo de la Cañada",156,121,-8
50264,"Tosos",134,111,1
50265,"Trasmoz",44,34,-4
50266,"Trasobares",91,61,-6
50267,"Uncastillo",373,408,-20
50268,"Undués de Lerda",37,34,0
50269,"Urrea de Jalón",202,212,-9
50270,"Urriés",23,14,-2
50271,"Used",184,144,-14
50272,"Utebo",9.126,8.873,322
50273,"Valdehorna",17,18,-3
50274,"Val de San Martín",43,36,-6
50275,"Valmadrid",69,40,7
50276,"Valpalmas",75,80,-5
50277,"Valtorres",58,56,0
50278,"Velilla de Ebro",137,117,-7
50279,"Velilla de Jiloca",53,49,-2
50280,"Vera de Moncayo",216,203,-6
50281,"Vierlas",54,50,9
50282,"Vilueña (La)",57,57,4
50283,"Villadoz",49,34,-5
50284,"Villafeliche",106,94,15
50285,"Villafranca de Ebro",423,414,60
50286,"Villalba de Perejil",59,53,1
50287,"Villalengua",201,190,4
50288,"Villanueva de Gállego",2.205,2.171,121
50289,"Villanueva de Jiloca",37,32,-5
50290,"Villanueva de Huerva",302,260,-26
50291,"Villar de los Navarros",65,55,-1
50292,"Villarreal de Huerva",114,88,0
50293,"Villarroya de la Sierra",297,268,-20
50294,"Villarroya del Campo",42,33,1
50295,"Vistabella",34,16,5
50296,"Zaida (La)",250,259,-25
50297,"Zaragoza",328.181,346.940,804
50298,"Zuera",3.880,3.630,83
50901,"Biel",108,78,-14
50902,"Marracos",51,49,-4
50903,"Villamayor de Gállego",1.437,1.451,20
